cust_id,cust name,policy number,DOA,DOB,sex,region,charges
999867,Vishal Kapoor,98691331456767 ,9/8/1971,19/04/1951,female,southwest,16884.924
823398,Harshita Singh,94321141671468 ,21/10/1966,30/03/1961,male,southeast,1725.5523
978076,Sangita Das,94945734050409 ,21/05/1998,25/10/1951,male,southeast,4449.462
391512,Rajesh Gupta,93989730027909 ,21/12/1970,22/08/1976,male,northwest,21984.47061
361960,Sameer Singh,98938016148468 ,9/12/1969,26/03/1969,male,northwest,3866.8552
930545,Aditi Gupta,98323170875601 ,4/6/1998,13/02/1951,female,southeast,3756.6216
308395,Sandeep Verma,91218022330310 ,24/03/1970,24/08/1952,female,southeast,8240.5896
123123,Shubham Galande,12345678987654 ,31/12/2021,31/12/2002,male,Nagpur,689.57
681596,Lakshmi Iyer,98125150482611 ,17/05/1961,28/06/1956,female,northwest,7281.5056
710513,Swati Singh,94946674612196 ,15/03/1987,7/12/1977,male,northeast,6406.4107
461686,Pranav Singh,93685346113988 ,6/12/1963,3/2/1985,female,northwest,28923.13692
106607,Vikas Verma,95526410835581 ,2/1/1975,27/12/1957,male,northeast,2721.3208
542378,Shreya Jain,95505064348080 ,2/12/1992,15/10/1990,female,southeast,27808.7251
701371,Yogesh Mehta,97834373274129 ,30/10/1961,16/01/1952,male,southwest,1826.843
387533,Krishna Rao,94300047083331 ,22/05/1994,10/8/1955,female,southeast,11090.7178
191262,Manish Kumar,90667546223884 ,10/3/1977,26/07/1973,male,southeast,39611.7577
877138,Anushka Jain,95006439194120 ,21/06/1996,21/04/1993,male,southwest,1837.237
570360,Jaya Patel,93438363670160 ,25/08/1977,5/2/1981,female,northeast,10797.3362
274507,Uday Sharma,94793702632474 ,29/07/1954,1/6/1976,male,northeast,2395.17155
320015,Ayush Verma,91177596993652 ,20/12/1963,23/08/1978,male,southwest,10602.385
340593,Gaurav Joshi,98705604772061 ,22/01/1964,10/2/1993,male,southwest,36837.467
541739,Shalini Patel,92224444315697 ,9/12/1956,26/01/1965,female,northeast,13228.84695
111420,Maya Patel,94027398269090 ,12/12/1964,23/06/1961,female,southwest,4149.736
134575,Ankit Chauhan,96736044685144 ,31/10/1963,1/7/1966,male,southeast,1137.011
416723,Vinayak Das,92012791121697 ,29/08/1979,9/11/1971,female,northeast,37701.8768
704903,Sachin Kumar,99322878223867 ,5/10/1954,14/06/1969,male,northwest,6203.90175
971273,Akanksha Singh,95000053364639 ,29/09/1984,19/10/1980,female,southeast,14001.1338
901632,Sandeep Verma,93531367305354 ,14/04/1998,5/1/1984,female,northeast,14451.83515
219383,Akanksha Singh,90651473106785 ,16/08/1983,13/02/1973,female,northwest,12268.63225
338205,Ankit Jain,97315400712698 ,5/12/1958,15/07/1966,male,northwest,2775.19215
366515,Gaurav Joshi,90901860017663 ,23/01/1966,2/5/1975,male,southwest,38711
766270,Neelam Sharma,97617081864251 ,25/06/1961,29/04/1973,male,southwest,35585.576
837886,Shubham Kapoor,96573382048958 ,7/3/1950,16/12/1975,female,northeast,2198.18985
169355,Jaya Patel,99026515958337 ,15/02/1998,3/5/1969,female,southwest,4687.797
461867,Karan Gupta,94482082627246 ,25/11/1984,3/3/1987,male,northwest,13770.0979
846038,Amit Kumar,99466681097529 ,27/06/1957,22/05/1998,male,southwest,51194.55914
108732,Manish Patel,94129715664102 ,17/07/1996,3/11/1985,male,northwest,1625.43375
905341,Rohan Jain,93457285208504 ,8/1/1953,17/12/1969,female,northwest,15612.19335
300675,Maya Singh,97038406871642 ,6/6/1952,1/2/1954,male,southwest,2302.3
498288,Ajay Sharma,95159127359423 ,19/09/1982,13/01/1975,male,northeast,39774.2763
450635,Suman Mehta,99439791282897 ,6/4/1954,19/08/1965,male,southwest,48173.361
934451,Krishna Chauhan,94143696488409 ,8/5/1962,13/01/1999,female,northeast,3046.062
383092,Yogesh Mehta,97253995445838 ,1/7/1972,29/05/1982,female,southeast,4949.7587
781378,Jaya Patel,98921058679014 ,19/06/1994,28/02/1992,male,southeast,6272.4772
662231,Ayush Verma,96079536469934 ,11/4/1971,11/10/1992,female,southeast,6313.759
224856,Riya Desai,90304176350420 ,16/12/1992,17/10/1959,male,northeast,6079.6715
901318,Vidya Reddy,99903068566805 ,13/08/1982,23/04/1960,male,southwest,20630.28351
561389,Sneha Iyer,92370746617967 ,27/10/1994,22/01/1953,female,northeast,3393.35635
149752,Sneha Iyer,91360782210944 ,8/10/1973,7/7/1990,female,northwest,3556.9223
260726,Ananya Patel,90015052231279 ,28/01/1960,13/03/1970,female,southeast,12629.8967
436604,Karan Gupta,96509724834638 ,23/11/1993,12/9/1994,male,southeast,38709.176
721718,Aditi Gupta,98672387174269 ,8/8/1973,9/7/1955,female,northeast,2211.13075
357034,Deepika Das,90432855767618 ,20/07/1971,25/09/1968,female,northwest,3579.8287
494831,Uday Sharma,97992742430258 ,30/10/1963,19/04/1979,male,southwest,23568.272
772301,Sunil Chauhan,93461774327127 ,17/04/1991,17/09/1963,male,southeast,37742.5757
939018,Deepika Iyer,90162951662044 ,5/9/1951,25/05/1982,female,northwest,8059.6791
639134,Swati Singh,94003504814660 ,15/01/1962,21/07/1973,male,northwest,47496.49445
381726,Anushka Jain,98475847788783 ,16/02/1963,13/11/1970,female,northeast,13607.36875
891013,Aruna Reddy,95401605777136 ,11/11/1986,23/10/1952,male,southeast,34303.1672
587933,Varun Gupta,92061251686735 ,19/09/1986,28/11/1977,female,southeast,23244.7902
423072,Kirti Mishra,98017757780257 ,6/10/1965,19/03/1980,female,northwest,5989.52365
992583,Disha Trivedi,99348868845515 ,16/05/1996,17/05/1952,male,northeast,8606.2174
883747,Rahul Sharma,93792600083166 ,23/08/1982,27/10/1955,male,southeast,4504.6624
878758,Dhruv Mehta,97113386449063 ,10/4/1966,23/02/1952,male,northwest,30166.61817
198346,Krishna Chauhan,95921086436291 ,8/3/1996,14/11/1990,female,northwest,4133.64165
367171,Santosh Sharma,96073717616986 ,5/4/1975,22/07/1983,female,northwest,14711.7438
156602,Srinivasan Kumar,99793822841298 ,9/6/1953,20/12/1985,female,southwest,1743.214
179071,Ayush Verma,92298108397989 ,29/08/1958,1/11/1973,female,southwest,14235.072
525215,Jaya Sharma,97243308759678 ,2/10/1987,8/4/1969,male,northwest,6389.37785
513173,Tanvi Desai,95890523515274 ,30/05/1970,1/11/2000,female,southeast,5920.1041
507836,Aditi Jain,91669848303872 ,9/6/1988,2/3/1987,male,southeast,17663.1442
375654,Neha Verma,99944509847852 ,21/10/1983,27/11/1975,female,southeast,16577.7795
642647,Sunil Chauhan,90894998276363 ,17/10/1969,1/7/1992,male,northeast,6799.458
820474,Aditi Gupta,99925299916889 ,1/6/1954,22/01/1953,female,southwest,11741.726
654725,Shubham Kapoor,93678696173231 ,7/2/1955,7/12/1995,male,southeast,11946.6259
315864,Harshita Singh,94175635880247 ,18/05/1986,6/3/1952,male,southwest,7726.854
859020,Vidya Reddy,90972451139544 ,17/06/1974,17/09/1973,male,northwest,11356.6609
229136,Pranav Singh,90037079350015 ,18/12/1961,9/8/1954,female,southeast,3947.4131
715237,Jaya Patel,96135008267230 ,13/06/1960,1/2/1989,male,southeast,1532.4697
312712,Pooja Agarwal,92165726302819 ,7/12/1989,12/8/1959,female,northeast,2755.02095
953247,Shubham Kapoor,93878399413717 ,10/3/1988,7/10/1973,female,northwest,6571.02435
115273,Ishaan Sharma,90448913514510 ,22/04/1959,14/11/1964,male,northeast,4441.21315
527785,Sneha Iyer,98808968242172 ,11/12/2000,12/11/1994,female,northeast,7935.29115
408524,Jaya Sharma,96351623966095 ,26/02/1953,1/12/1963,male,southeast,37165.1638
371086,Roshni Mehta,90586625815595 ,23/05/1950,6/2/1972,female,northwest,11033.6617
167731,Jaya Patel,94005434633027 ,6/2/1961,23/08/1950,female,southwest,39836.519
535310,Vikas Verma,95665458217900 ,19/05/1974,17/10/1984,male,northwest,21098.55405
239356,Anushka Jain,95025969004576 ,4/12/1997,10/1/1985,female,northwest,43578.9394
534937,Sarika Reddy,90655003781028 ,23/09/1975,17/11/1998,female,southwest,11073.176
983189,Shivam Trivedi,97371644601164 ,29/09/1995,20/11/1990,female,northwest,8026.6666
848434,Deepika Iyer,94583075421447 ,3/8/1976,16/04/1997,female,northwest,11082.5772
662898,Sneha Iyer,93052906929478 ,30/10/1963,26/11/1952,female,southeast,2026.9741
103927,Ajay Sharma,94488610056687 ,4/12/1966,24/03/1954,female,northwest,10942.13205
245530,Aruna Patel,99986079359711 ,6/11/1985,28/04/1966,male,northeast,30184.9367
822853,Sandeep Verma,95880522981264 ,2/4/1950,31/01/1967,male,northwest,5729.0053
849259,Suman Mehta,91550366688930 ,1/1/1999,21/08/1999,female,southwest,47291.055
